Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy
CHEMBL4107887,-11.195,-0.35,-1.111,-2.507,-11.195,-3.987,-0.481,-2.338,-56.659,-13.701,0.525,-0.027,-111.25,-70.36
CHEMBL4115463,-11.195,-0.311,-1.027,-2.442,-11.436,-3.655,-0.391,-2.409,-54.172,-19.666,0.764,-0.086,-127.309,-73.838
CHEMBL4107389,-11.191,-0.28,-0.957,-2.387,-11.294,-3.244,-0.391,-2.954,-60.762,-14.548,0.588,-0.073,-116.932,-75.31
CHEMBL4109668,-11.189,-0.361,-1.134,-2.523,-11.189,-4.132,-0.558,-2.034,-53.203,-14.741,0.446,-0.039,-114.653,-67.944
CHEMBL4107137,-11.187,-0.32,-1.046,-2.456,-11.187,-4.042,-0.678,-2.885,-59.929,-8.703,0.719,0,-100.965,-68.632
CHEMBL3984144,-11.185,-0.35,-1.11,-2.505,-11.185,-3.602,-0.683,-3.368,-51.127,-12.625,0.926,-0.009,-102.35,-63.751
CHEMBL3937953,-11.185,-0.414,-1.243,-2.604,-11.185,-4.048,-0.28,-2.465,-53.423,-14.861,0.523,-0.015,-121.87,-68.284
CHEMBL256942,-11.184,-0.466,-1.344,-2.677,-11.185,-3.542,-0.406,-3.218,-47.426,-13.242,0.437,-0.099,-110.072,-60.668
CHEMBL402344,-11.18,-0.532,-1.469,-2.764,-11.233,-2.925,-0.604,-3.529,-41.008,-17.725,0.689,-0.155,-112.269,-58.733
CHEMBL4109693,-11.179,-0.329,-1.065,-2.47,-11.179,-3.921,-0.61,-2.877,-63.904,-8.227,0.686,-0.027,-111.711,-72.131
CHEMBL4107689,-11.176,-0.339,-1.086,-2.485,-11.18,-4.033,-0.617,-2.149,-54.871,-13.989,0.498,-0.037,-114.007,-68.86
CHEMBL3893206,-11.174,-0.399,-1.212,-2.579,-11.213,-3.882,-0.366,-2.653,-47.934,-16.041,0.539,-0.048,-105.017,-63.976
CHEMBL3969501,-11.174,-0.279,-0.955,-2.383,-11.174,-4.779,-0.244,-1.528,-68.499,-9.959,0.301,-0.006,-123.612,-78.458
CHEMBL3980126,-11.172,-0.294,-0.988,-2.409,-11.172,-4.248,-0.408,-1.789,-58.208,-14.187,0.339,-0.028,-116.174,-72.395
CHEMBL403210,-11.165,-0.465,-1.342,-2.672,-11.183,-3.403,-0.383,-3.556,-43.793,-14.093,0.549,-0.087,-104.463,-57.886
CHEMBL3622527,-11.165,-0.385,-1.183,-2.556,-11.194,-4.12,-0.32,-2.547,-52.524,-13.394,0.462,-0.034,-110.089,-65.918
CHEMBL3622527,-11.165,-0.385,-1.183,-2.556,-11.194,-4.12,-0.32,-2.547,-52.524,-13.394,0.462,-0.034,-110.089,-65.918
CHEMBL4108111,-11.163,-0.349,-1.108,-2.5,-11.262,-3.994,-0.584,-2.348,-50.806,-14.966,0.48,-0.031,-110.916,-65.772
CHEMBL4108230,-11.159,-0.349,-1.107,-2.499,-11.159,-4.024,-0.576,-2.334,-44.774,-15.914,0.417,-0.016,-99.817,-60.688
CHEMBL4113092,-11.157,-0.338,-1.084,-2.481,-11.163,-3.687,-0.116,-3.284,-56.065,-13.59,0.784,-0.018,-114.329,-69.655
CHEMBL4113092,-11.157,-0.338,-1.084,-2.481,-11.163,-3.687,-0.116,-3.284,-56.065,-13.59,0.784,-0.018,-114.329,-69.655
CHEMBL4109510,-11.149,-0.398,-1.209,-2.573,-11.206,-3.688,-0.437,-3.18,-49.372,-13.087,0.531,0,-104.324,-62.46
CHEMBL4110098,-11.147,-0.338,-1.084,-2.479,-11.147,-3.832,-0.853,-2.508,-56.072,-14.121,0.972,-0.004,-106.597,-70.193
CHEMBL4110098,-11.147,-0.338,-1.084,-2.479,-11.147,-3.832,-0.853,-2.508,-56.072,-14.121,0.972,-0.004,-106.597,-70.193
CHEMBL4115189,-11.147,-0.348,-1.106,-2.496,-11.227,-3.477,-0.575,-3.343,-57.211,-11.295,0.723,0,-109.694,-68.506
CHEMBL4115189,-11.147,-0.348,-1.106,-2.496,-11.227,-3.477,-0.575,-3.343,-57.211,-11.295,0.723,0,-109.694,-68.506
CHEMBL3970164,-11.139,-0.359,-1.129,-2.512,-11.168,-4.133,-0.32,-2.497,-52.227,-14.151,0.557,-0.041,-107.026,-66.378
CHEMBL3970164,-11.139,-0.359,-1.129,-2.512,-11.168,-4.133,-0.32,-2.497,-52.227,-14.151,0.557,-0.041,-107.026,-66.378
